"User_ID sorted by SD","Ensembl_gene_id","symbol","cng_1","cng_2","cng_3","cng_4","wt_1","wt_2","wt_3","treatment30_1","treatment30_2","treatment30_3","treatment30_4"
" ENSMUSG00000042508","ENSMUSG00000042508","  Dmtf1",2186,1442,889,1440,1421,1284,1380,2008,2007,1670,1818
" ENSMUSG00000020441","ENSMUSG00000020441","  2310033P09Rik",474,497,299,497,374,527,337,551,783,505,454
" ENSMUSG00000033938","ENSMUSG00000033938","  Ndufb7",1227,1376,810,1006,843,912,922,1295,1828,1466,1120
" ENSMUSG00000026791","ENSMUSG00000026791","  Slc2a8",391,268,189,266,246,300,317,348,482,405,355
" ENSMUSG00000082784","ENSMUSG00000082784","  Gm15957",6,4,2,5,7,4,15,3,12,7,15
" ENSMUSG00000015846","ENSMUSG00000015846","  Rxra",431,438,221,315,234,216,269,266,418,267,316
" ENSMUSG00000116041","ENSMUSG00000116041","  Gm20369",0,0,1,2,3,13,2,2,7,0,4
" ENSMUSG00000088683","ENSMUSG00000088683","  Gm24858",1,4,4,8,8,5,8,5,4,20,8
" ENSMUSG00000038702","ENSMUSG00000038702","  Dsel",931,511,450,469,509,790,749,584,883,704,727
" ENSMUSG00000106664","ENSMUSG00000106664","  Gm17936",3,3,3,10,4,0,7,4,15,2,3
" ENSMUSG00000034487","ENSMUSG00000034487","  Kdelc2",22,16,4,23,15,19,17,14,21,25,12
" ENSMUSG00000107620","ENSMUSG00000107620","  Gm44256",10,11,15,30,22,14,10,21,19,25,9
" ENSMUSG00000025374","ENSMUSG00000025374","  Nabp2",1431,1465,826,1208,1177,1355,1227,1636,2237,1788,1493
" ENSMUSG00000036918","ENSMUSG00000036918","  Ttc7",48,48,22,38,38,31,32,64,61,49,32
" ENSMUSG00000036270","ENSMUSG00000036270","  Edc4",3241,2942,1860,2339,2158,2041,2043,3209,4033,3275,3120
" ENSMUSG00000032059","ENSMUSG00000032059","  Alg9",531,492,300,377,383,292,308,441,608,576,433
" ENSMUSG00000028945","ENSMUSG00000028945","  Rheb",1872,1767,942,1091,1256,1517,1574,1645,2297,1839,1628
" ENSMUSG00000020604","ENSMUSG00000020604","  Arsg",96,98,55,65,124,101,124,100,127,136,85
" ENSMUSG00000015501","ENSMUSG00000015501","  Hivep2",3896,3006,2037,3095,3851,3891,4518,3158,5031,4693,3331
" ENSMUSG00000078125","ENSMUSG00000078125","  Gm10916",2,2,5,3,5,13,2,10,9,0,5
" ENSMUSG00000025234","ENSMUSG00000025234","  Arih1",3529,3270,1910,2253,2706,2577,2209,3007,4342,3808,3468
" ENSMUSG00000020224","ENSMUSG00000020224","  Llph",55,32,22,42,41,51,46,71,51,49,62
" ENSMUSG00000031516","ENSMUSG00000031516","  Dctn6",1281,1195,614,935,871,861,861,1328,1459,1242,1092
" ENSMUSG00000032413","ENSMUSG00000032413","  Rasa2",832,631,433,657,528,491,456,897,866,706,711
" ENSMUSG00000031465","ENSMUSG00000031465","  Angpt2",7,15,2,8,11,19,6,10,17,11,13
" ENSMUSG00000031072","ENSMUSG00000031072","  LTO1",356,535,216,444,304,410,351,438,538,409,448
" ENSMUSG00000105979","ENSMUSG00000105979","  Gm43411",0,7,0,2,3,11,0,0,2,0,5
" ENSMUSG00000057789","ENSMUSG00000057789","  Bak1",487,459,224,330,334,424,467,476,586,459,455
